Pizza
Végétarienne;Tomates fraiches, tapenade d'olives, tomates séchées, oignons;9
Jambon Mozza;Blancs de volaille, base mozzarella, parmesan, tomates fraiches;10
Trois Fromage;Mozzarella, chèvres, gorgonzola, tomates fraiches, sauce tomates;10
Régina;Jambon cuit, champignons de Paris frais, mozzarella, sauce;11
Margherita;Fromage mozzarella, sauce tomate, olives, origan;12
Vésuvio;Chorizo, poivrons frais, oignons rouges, oeuf, mozzarella;11
Merguez;Merguez boeuf et mouton, oignons rouges, dés de tomates;11
Déssert
Café Gourmand;Café, décaféiné ou thé Gauffre ou Moeulleux au chocolat;5
Moeulleux au chocolat;Moeulleux au chocolat, amandes grillés, tout juste sorti du four;7
Crousti poire caramel;Mini-pizza cuite à la minute, crème d'amandes, poire caramélisé;7
Mousse au chocolat;Du chocolat noir fondant allégé aux blancs d'oeufs;6.5
Glaces
Coupe antillaise;Rhum-raisin (3 boules), rhum (3cl);3
Colonel italien;Citron (3boules), Grappa Piave (3cl);3
Fresca coulis;Sorbets: citron, framboise, fruits de la passion, coulis de framboise;4.5
